dataset,comparison,scope,metric,n,a_mean,b_mean,delta,ci_lo,ci_hi,p,verdict,p_bh,verdict_bh
goodreads,HMT-HM[1.5b],cold_start_item,ndcg@5,225,0.2931413130953538,0.3949708810686715,-0.10182956797331767,-0.15337137827008077,-0.051002532112344554,0.0004,hurts*,0.0017142857142857144,hurts*
goodreads,HMT-HM[1.5b],cold_start_item,hr@5,225,0.44,0.6488888888888888,-0.2088888888888889,-0.28444444444444444,-0.13333333333333333,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[1.5b],evolving_interest,ndcg@5,91,0.24514319651743105,0.3351710579468627,-0.09002786142943166,-0.16822047764941564,-0.014999198426071147,0.0204,hurts*,0.04371428571428572,hurts*
goodreads,HMT-HM[1.5b],evolving_interest,hr@5,91,0.4175824175824176,0.5824175824175825,-0.16483516483516483,-0.2967032967032967,-0.03296703296703297,0.0136,hurts*,0.023999999999999997,hurts*
goodreads,HMT-HM[1.5b],POOLED,ndcg@5,955,0.30511917719576837,0.3945874524616824,-0.0894682752659141,-0.11385038841858584,-0.06489969108536416,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[1.5b],POOLED,hr@5,955,0.45759162303664924,0.6335078534031413,-0.17591623036649215,-0.2136125654450262,-0.13717277486910995,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[3b],classic,ndcg@5,400,0.40867328418800797,0.42527274120268893,-0.016599457014680907,-0.050281782919170244,0.017230105583309202,0.344,ns,0.41279999999999994,ns
goodreads,HMT-HM[3b],classic,hr@5,400,0.62,0.6525,-0.0325,-0.0825,0.0175,0.2248,ns,0.27503999999999995,ns
goodreads,HMT-HM[3b],cold_start_user,ndcg@5,239,0.42082951262526297,0.44489570876020923,-0.024066196134946302,-0.0686718557842578,0.02145936078260736,0.3096,ns,0.387,ns
goodreads,HMT-HM[3b],cold_start_user,hr@5,239,0.6443514644351465,0.6694560669456067,-0.02510460251046025,-0.08786610878661087,0.04184100418410042,0.5188,ns,0.5366896551724138,ns
goodreads,HMT-HM[3b],cold_start_item,ndcg@5,225,0.41352305953700375,0.4289078204423188,-0.015384760905315025,-0.05919179551156594,0.027192735440354082,0.4776,ns,0.5117142857142858,ns
goodreads,HMT-HM[3b],cold_start_item,hr@5,225,0.6266666666666667,0.6577777777777778,-0.03111111111111111,-0.09333333333333334,0.03111111111111111,0.3456,ns,0.3702857142857143,ns
goodreads,HMT-HM[3b],evolving_interest,ndcg@5,91,0.37136112747267064,0.4146265616539709,-0.04326543418130023,-0.10702365601314558,0.02460389011093641,0.1924,ns,0.2748571428571428,ns
goodreads,HMT-HM[3b],evolving_interest,hr@5,91,0.5714285714285714,0.6373626373626373,-0.06593406593406594,-0.17582417582417584,0.03296703296703297,0.2688,ns,0.31015384615384617,ns
goodreads,HMT-HM[3b],POOLED,ndcg@5,955,0.40930274155861773,0.43002559956523423,-0.020722858006616482,-0.042074057629301886,0.0014016856813936541,0.0656,ns,0.11576470588235295,ns
goodreads,HMT-HM[3b],POOLED,hr@5,955,0.6230366492146597,0.6565445026178011,-0.033507853403141365,-0.06596858638743455,-0.0020942408376963353,0.0376,hurts*,0.059368421052631584,ns
goodreads,HMT-HM[7b],classic,ndcg@5,400,0.4075858799002969,0.48460054211856146,-0.0770146622182646,-0.11446994711837541,-0.03771351497848735,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[7b],classic,hr@5,400,0.61,0.7275,-0.1175,-0.17,-0.0675,0.0,hurts*,0.0,hurts*
goodreads,HMT-HM[7b],cold_start_user,ndcg@5,239,0.4179071455998963,0.5022039278695093,-0.08429678226961297,-0.13386535188770937,-0.03415335879359465,0.0028,hurts*,0.007,hurts*
